client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
01bf7c314cf2359f27dc75f3804fa59615559e3a4c6dc6b499ce46a81bc0c029601649b6394f1ecd64cac9cc3c16138fb567205adefb7e77a14a2d68b4b680a1	common_voice_vi_30580094.mp3	d9dcf2b14ceefa5981a3c0e7fb785acef8e96b4b45a08a8f9fa9d75c95361fed	ạ. Dạ không ạ. Ngại quá		2	0					vi	
0509a05412a18c53ee878fae9aef39c7a48fab98b458c0f0922695aee1e604dcc78739698f37d5e9f6c2f81ca1560e8979766e358f601fed575bf019da12edb1	common_voice_vi_42758779.mp3	3b06454629aaaedb583ad8fd861fb544766313a392dce500feddb1f322e8b31b	Ẩn trong thi tứ những điều thiêng liêng		2	0			Trung bình cao độ		vi	
05b9f4b34322161cc4d6885fd6024d589d45e8096233a727845b5ef82deba75670f6639002d2f3fe667eb2958b12ae55a9f81b7b594daf737496f37fa4eac3f5	common_voice_vi_42723091.mp3	3b6f0b653a1f412f5db609ee6145be27b301b2f27625c6007766c0d14d499047	Con của tao Ngoan hiền lắm dễ thương biết nghe lời		2	0	twenties	female_feminine			vi	
0a1a28f013c5863c9036144fa3af443e40b0a9ade0ea79aa55649e8253c46726703d8542e04e4bc71b7eaf3f3dabcf6d0e7c7371d6a05e3fe822e2c709aa26e6	common_voice_vi_36605477.mp3	133fab2d36d2c880676ae014293371d5cf61ece1bf4844b12f04e0ee77923053	cố mà đỗ vào trường quốc lập cho mẹ		2	0	twenties	male_masculine			vi	
0bf92785ff1b2dbf0ab4d787ccf2d7d0c910d24ff5c2442f227c79a82fdde1eabecbbf5c7fa316d37f797b56a4efac494f8eb80a8d40d2133c7c9e6aaf266b1d	common_voice_vi_40681333.mp3	bf98f785596949ba6c2cbc21659779ffb765210b4452c633ca7d1bec3ae217dc	Có điều gì còn khúc mắc hay sao		2	0	twenties				vi	
0f2b79dee2f8ccfb0d21cec67dc3c60a27e018195af784aa274eceb275f9f4449bd05013b9f1569754f45c17982fc347252152932200cc71c368fb2a0947fec9	common_voice_vi_29840563.mp3	d3f590530d367503457d5ffcf015481577d79256adc3892db3ae3781bbaa15ef	tiếng xe chạy như mớ âm thanh hỗn tạp		2	0					vi	
10597e3d9371d95228dbe8896363354a405ddcce8d4fe3f22290cd8d6c1a1682994040897310dfd264e7a5b101ac39c6b07da292a3bdd05faa0f0f2f0948d55e	common_voice_vi_37195495.mp3	124c6b05ee23d07efeac60c2e4ca894303df0ec3adb04030cfa40f88d1d81ec0	thì vẫn không hiện tượng gì tiếp tục xảy đến		2	0					vi	
184be732665f16b3cec29f544e8e54f02871bb32540c24d394a3dc2fff2ab255ee07f32b17884c982e78984e193de90eb1a057da9d160b26f80dbaf9f37682d5	common_voice_vi_26942577.mp3	cc34bb8402adda173c48f3c5034bf0c8c2137e9b6b6779527e4d73db005776e5	Gió đông lạnh heo may về khắp lối.		2	0					vi	
187f5ec6efd8d5c8601fb59948ff70e447dc7031e9cf7288beecbebf4c519b9a8e4b37d68318d6744d4c9fc37b28e72c99814f26060566c0eac82922b261a00a	common_voice_vi_37507755.mp3	22619a0ada70c4b503d352a19bf14fda9c178aa688452c4dfbb988d5b4fb3391	Có hay chăng là con bé đó gây ra không		2	1					vi	
1fab49fb1f473e2d8b31738460acd7aa8f48ac80fad73ef3a9029a4736bd9c63a96d9189c5f2c7d836cceceefe2c722b9605b63726cea92187015ef059459e57	common_voice_vi_26976787.mp3	d6c16f986f606751fba9d82ab6f54de42a15daeb9744f5195c1d5f012258812b	Chút se lạnh cũng thấy lòng man mác		2	0					vi	
2468e696da9de2ed1b65a5c19e1e7cab74d894043d44d0c20ca79a00b69b0ab1a32a0fd3b2ef05e845f47c14496873441c3280185a1be48b5fcfd2adf84299bb	common_voice_vi_39607559.mp3	2179609e61202e3d5102cedd241aae19b22728b3e5515e9f509307c142076f8f	Đi qua góc phố tháng mười		2	0					vi	
283313f7ef5315af33538c34ed728e0ae2f44fd5cd61a185dc71ca655c136839d867297bb18f3b7cc31ce3d396375a78f58e0cd73c7926e9f04ebdedf9da4624	common_voice_vi_25059647.mp3	421a5b637d0564b168e86304d25ea84cf494aa77577817aaf1757a9be8726a35	Anh có thể dối em		2	0					vi	
2f5a7eadfd319fc2c8d0ffbaa896e4c43be84fca07b205897afcfc0401a65b1cff7d05f3f998a6d3756d62a5e60a094c63b6170fecb57db7d36e416b04ef4e45	common_voice_vi_26136615.mp3	3eea0a9f73efa59293346122791c0286338bc73145c7b47f3c0d0c9d618895c5	Ngày em đi cất nhẹ gót quay về		2	0	thirties	male_masculine			vi	
3392cf350c714623a05c78a1df2a4284437e510be4b3a93a305278b25165f4097128c58668bd3e4c0038eb9c3aed1950848d4694a96f72b78e3546c79f6b13bf	common_voice_vi_37865602.mp3	faa4fcb93f2286546c25d79ef967deddfd8f45f580225de9f2f9674cdef07c63	Danh hiệu		2	0					vi	
39f76fc4fb0a1e215b3caff05e5e43a3bdd7a638af88898c94da4faaba3fffdb1510364f71249cf1566a39d6288b230333df4606f2909f24d17b13fe0a0ae49f	common_voice_vi_23965605.mp3	519a1948c2c04d96d0b567aa3be86a3987f388269b59845ad220cc16b78e6cf7	Cây cỏ tỉnh táo		2	1					vi	
3b97ba2395755cf47ca47ce7f12c4a54fd5d250122df400d7249b2a2daf750b07d8856a93c0e35db6fcc3287390265c6dc34d43fd5f00b8d38c3f186944c244c	common_voice_vi_35282636.mp3	ccf779fe5bb65c860eb81c6269b78e0fe6533394bb612f86110fe16d46dee11b	song trai ồ lên		2	0					vi	
412968d263a19c7ce98528dcf99b356bf720205674dac5cea40ab2fb570b5a980722c9732d161c77854b5c81fa12b5678a4380cf5b59d55ca1acd03f34c53c32	common_voice_vi_35487089.mp3	0a70d26108770ac53e1b2b7b4e6696184d47dfb972ccdbb05b7ff9fa80fcbd10	Anh chàng lắc đầu		2	0	thirties	male_masculine			vi	
4145168adda9b38c4250bfea38200fbc0096baf89ecb63979b80070185a3297ff1f1e3e21de0611abe025472f16d63a28ee65580668f07eb18e9ee3590b85ed2	common_voice_vi_31325468.mp3	a1a0391c8e4d54dcb0a39a3159d1141de1bff98b7559998d609c518c424f1aeb	Vàng thêm nắng ấm một trời xuyến xao		2	0					vi	
47f3bb7db8ec3ee4a40b5742a07e65d5da00480c73902ba219ce27d01da6c56b40bbd2a23b8a690cce681cb7a455ee0c5cba041724f40db80066af736e07fca2	common_voice_vi_42392405.mp3	632d12ad953639934e16d716f8a7ce8db286b51703e5595bd79abbad39e4e116	Gửi hương yêu thắp lửa mộng lòng xinh		2	0	twenties	female_feminine			vi	
497fb0593106e616daf2b93ff58696a8cf1e86b9a40b1912af7984c02e2b48f784ff801b05f873a297e8919e6facab9764cadc0f95db743679cf2f8f922dfa36	common_voice_vi_38023051.mp3	14903bcd237f7bfdded1f497688f428d9e70d738849b34c00f633e29c19ffd87	để cho em học		2	0	twenties	male_masculine			vi	
